Epoch: 145, Train loss: 0.8689, Val loss: 0.9346, Test acc: 0.5040
Epoch: 146, Train loss: 0.9450, Val loss: 0.9228, Test acc: 0.4960
Epoch: 147, Train loss: 0.8747, Val loss: 0.9512, Test acc: 0.4890
Epoch: 148, Train loss: 0.9126, Val loss: 0.9599, Test acc: 0.4850
Epoch: 149, Train loss: 0.8780, Val loss: 0.9635, Test acc: 0.4830
Epoch: 150, Train loss: 0.8509, Val loss: 0.9643, Test acc: 0.4850
Epoch: 151, Train loss: 0.8885, Val loss: 0.9641, Test acc: 0.4830
Epoch: 152, Train loss: 0.8689, Val loss: 0.9604, Test acc: 0.4830
Epoch: 153, Train loss: 0.8351, Val loss: 0.9560, Test acc: 0.4960
Epoch: 154, Train loss: 0.8938, Val loss: 0.9553, Test acc: 0.4990
Epoch: 155, Train loss: 0.8955, Val loss: 0.9566, Test acc: 0.4780
Epoch: 156, Train loss: 0.8809, Val loss: 0.9683, Test acc: 0.4830
Epoch: 157, Train loss: 0.8491, Val loss: 0.9752, Test acc: 0.4930
Epoch: 158, Train loss: 0.8943, Val loss: 0.9802, Test acc: 0.5000
Epoch: 159, Train loss: 0.8411, Val loss: 0.9632, Test acc: 0.5080
Epoch: 160, Train loss: 0.8148, Val loss: 0.9585, Test acc: 0.4910
Epoch: 161, Train loss: 0.9142, Val loss: 0.9595, Test acc: 0.4840
Epoch: 162, Train loss: 0.9363, Val loss: 0.9698, Test acc: 0.4850
Epoch: 163, Train loss: 0.8994, Val loss: 0.9596, Test acc: 0.4940
Epoch: 164, Train loss: 0.8678, Val loss: 0.9801, Test acc: 0.4870
Epoch: 165, Train loss: 0.9052, Val loss: 0.9712, Test acc: 0.4890
Epoch: 166, Train loss: 0.8478, Val loss: 0.9618, Test acc: 0.4910
Epoch: 167, Train loss: 0.7866, Val loss: 0.9582, Test acc: 0.4840
Epoch: 168, Train loss: 0.8619, Val loss: 0.9532, Test acc: 0.5090
Epoch: 169, Train loss: 0.8176, Val loss: 0.9524, Test acc: 0.5150
Epoch: 170, Train loss: 0.8584, Val loss: 0.9532, Test acc: 0.4970
Epoch: 171, Train loss: 0.8488, Val loss: 0.9503, Test acc: 0.5050
Epoch: 172, Train loss: 0.9029, Val loss: 0.9521, Test acc: 0.4920
Epoch: 173, Train loss: 0.8882, Val loss: 0.9509, Test acc: 0.4890
Epoch: 174, Train loss: 0.9556, Val loss: 0.9530, Test acc: 0.4820
Epoch: 175, Train loss: 0.7857, Val loss: 0.9478, Test acc: 0.4990
Epoch: 176, Train loss: 0.8463, Val loss: 0.9464, Test acc: 0.4890
Epoch: 177, Train loss: 0.9100, Val loss: 0.9779, Test acc: 0.4830
Epoch: 178, Train loss: 0.9281, Val loss: 0.9789, Test acc: 0.4860
Epoch: 179, Train loss: 0.9133, Val loss: 0.9586, Test acc: 0.4790
Epoch: 180, Train loss: 0.7924, Val loss: 0.9289, Test acc: 0.4980
Epoch: 181, Train loss: 0.8562, Val loss: 0.9275, Test acc: 0.4930
Epoch: 182, Train loss: 1.0500, Val loss: 0.9472, Test acc: 0.4870
Epoch: 183, Train loss: 0.8775, Val loss: 0.9664, Test acc: 0.4870
Epoch: 184, Train loss: 0.9540, Val loss: 0.9754, Test acc: 0.4870
Epoch: 185, Train loss: 0.9331, Val loss: 0.9796, Test acc: 0.4830
Epoch: 186, Train loss: 0.9425, Val loss: 0.9739, Test acc: 0.4860
Epoch: 187, Train loss: 0.8706, Val loss: 0.9521, Test acc: 0.4940
Epoch: 188, Train loss: 0.8635, Val loss: 0.9359, Test acc: 0.4980
Epoch: 189, Train loss: 0.8886, Val loss: 0.9316, Test acc: 0.5000
